"SYLL","WP","TYPE","ORDER","TARGET","PRESENT"
"SE",1,30,1,"CAPO",1
"NE",2,30,1,"CAPO",1
"VA",3,30,1,"CAPO",1
"IL",4,30,1,"CAPO",1
"CA",5,30,1,"CAPO",1
"PO",6,30,1,"CAPO",1
"PE",1,6,2,"CAPO",1
"LA",2,6,2,"CAPO",1
"VO",3,6,2,"CAPO",1
"PA",4,6,2,"CAPO",1
"TA",5,6,2,"CAPO",1
"TE",6,6,2,"CAPO",1
"LUI",1,8,3,"CAPO",1
"LO",2,8,3,"CAPO",1
"SA",3,8,3,"CAPO",1
"CHE",4,8,3,"CAPO",1
"LI",5,8,3,"CAPO",1
"VUOI",6,8,3,"CAPO",1
"SI",1,10,4,"CAPO",1
"STU",2,10,4,"CAPO",1
"DIA",3,10,4,"CAPO",1
"DA",4,10,4,"CAPO",1
"MAR",5,10,4,"CAPO",1
"ZO",6,10,4,"CAPO",1
"CON",1,17,5,"CAPO",1
"I",2,17,5,"CAPO",1
"SUOI",3,17,5,"CAPO",1
"NON",4,17,5,"CAPO",1
"VA",5,17,5,"CAPO",1
"LÀ",6,17,5,"CAPO",1
"SER",1,23,6,"CAPO",1
"VE",2,23,6,"CAPO",1
"LUI",3,23,6,"CAPO",1
"LA",4,23,6,"CAPO",1
"CE",5,23,6,"CAPO",1
NA,6,23,6,"CAPO",1
"PER",1,26,7,"CAPO",1
"COR",2,26,7,"CAPO",1
"RE",3,26,7,"CAPO",1
"IL",4,26,7,"CAPO",1
"TRAT",5,26,7,"CAPO",1
"TO",6,26,7,"CAPO",1
"SE",1,22,8,"CAPO",1
"TI",2,22,8,"CAPO",1
"VA",3,22,8,"CAPO",1
"LE",4,22,8,"CAPO",1
"DO",5,22,8,"CAPO",1
"IO",6,22,8,"CAPO",1
"LA",1,29,9,"CAPO",1
"SPA",2,29,9,"CAPO",1
"GNA",3,29,9,"CAPO",1
"CON",4,29,9,"CAPO",1
"QUIS",5,29,9,"CAPO",1
"TA",6,29,9,"CAPO",1
"STA",1,19,10,"CAPO",1
"SE",2,19,10,"CAPO",1
"RA",3,19,10,"CAPO",1
"TI",4,19,10,"CAPO",1
"SCRI",5,19,10,"CAPO",1
"VO",6,19,10,"CAPO",1
"LEI",1,11,11,"CAPO",1
"MI",2,11,11,"CAPO",1
"FA",3,11,11,"CAPO",1
"UN",4,11,11,"CAPO",1
"PUZ",5,11,11,"CAPO",1
"ZLE",6,11,11,"CAPO",1
"LE",1,3,12,"CAPO",1
"COM",2,3,12,"CAPO",1
"PRA",3,3,12,"CAPO",1
"STE",4,3,12,"CAPO",1
"FA",5,3,12,"CAPO",1
"NIA",6,3,12,"CAPO",1
