"SYLL","WP","TYPE","ORDER","TARGET","PRESENT"
"LA",1,2,1,"MAGGIO",1
"LU",2,2,1,"MAGGIO",1
NA,3,2,1,"MAGGIO",1
"SA",4,2,1,"MAGGIO",1
"LI",5,2,1,"MAGGIO",1
"VA",6,2,1,"MAGGIO",1
"RIS",1,25,2,"MAGGIO",1
"PON",2,25,2,"MAGGIO",1
"DE",3,25,2,"MAGGIO",1
"SUL",4,25,2,"MAGGIO",1
"FO",5,25,2,"MAGGIO",1
"RUM",6,25,2,"MAGGIO",1
"LA",1,20,3,"MAGGIO",1
"FA",2,20,3,"MAGGIO",1
"LEI",3,20,3,"MAGGIO",1
"SE",4,20,3,"MAGGIO",1
"TI",5,20,3,"MAGGIO",1
"VA",6,20,3,"MAGGIO",1
"QUEL",1,21,4,"MAGGIO",1
"LA",2,21,4,"MAGGIO",1
"LÌ",3,21,4,"MAGGIO",1
"GUAR",4,21,4,"MAGGIO",1
"DA",5,21,4,"MAGGIO",1
"TE",6,21,4,"MAGGIO",1
"STA",1,19,5,"MAGGIO",1
"NOT",2,19,5,"MAGGIO",1
"TE",3,19,5,"MAGGIO",1
"MI",4,19,5,"MAGGIO",1
"SDRA",5,19,5,"MAGGIO",1
"IO",6,19,5,"MAGGIO",1
"LEI",1,8,6,"MAGGIO",1
"LO",2,8,6,"MAGGIO",1
"SA",3,8,6,"MAGGIO",1
"CHE",4,8,6,"MAGGIO",1
"CI",5,8,6,"MAGGIO",1
"VA",6,8,6,"MAGGIO",1
"SI",1,10,7,"MAGGIO",1
"VE",2,10,7,"MAGGIO",1
"DRÀ",3,10,7,"MAGGIO",1
"A",4,10,7,"MAGGIO",1
"MAG",5,10,7,"MAGGIO",1
"GIO",6,10,7,"MAGGIO",1
"DO",1,15,8,"MAGGIO",1
"MA",2,15,8,"MAGGIO",1
"NI",3,15,8,"MAGGIO",1
"PAR",4,15,8,"MAGGIO",1
"TIA",5,15,8,"MAGGIO",1
"MO",6,15,8,"MAGGIO",1
"RI",1,26,9,"MAGGIO",1
"FAC",2,26,9,"MAGGIO",1
"CIO",3,26,9,"MAGGIO",1
"LA",4,26,9,"MAGGIO",1
"SPE",5,26,9,"MAGGIO",1
"SA",6,26,9,"MAGGIO",1
"MI",1,28,10,"MAGGIO",1
"LA",2,28,10,"MAGGIO",1
"VO",3,28,10,"MAGGIO",1
"SO",4,28,10,"MAGGIO",1
"VEN",5,28,10,"MAGGIO",1
"TE",6,28,10,"MAGGIO",1
"DI",1,13,11,"MAGGIO",1
"NOT",2,13,11,"MAGGIO",1
"TE",3,13,11,"MAGGIO",1
"RUS",4,13,11,"MAGGIO",1
"SA",5,13,11,"MAGGIO",1
"VA",6,13,11,"MAGGIO",1
"SE",1,30,12,"MAGGIO",1
"NE",2,30,12,"MAGGIO",1
"VA",3,30,12,"MAGGIO",1
"LO",4,30,12,"MAGGIO",1
"STOR",5,30,12,"MAGGIO",1
"MO",6,30,12,"MAGGIO",1
