"SYLL","WP","TYPE","ORDER","TARGET","PRESENT"
"TI",1,0,1,"DOSE",1
"PEN",2,0,1,"DOSE",1
"NIE",3,0,1,"DOSE",1
"UN",4,0,1,"DOSE",1
"DO",5,0,1,"DOSE",1
"SE",6,0,1,"DOSE",1
"AN",1,0,2,"DOSE",1
"VA",2,0,2,"DOSE",1
"LA",3,0,2,"DOSE",1
"GI",4,0,2,"DOSE",1
"SCOR",5,0,2,"DOSE",1
"RE",6,0,2,"DOSE",1
"TA",1,0,3,"DOSE",1
"CIA",2,0,3,"DOSE",1
"LA",3,0,3,"DOSE",1
"STA",4,0,3,"DOSE",1
"PE",5,0,3,"DOSE",1
"BA",6,0,3,"DOSE",1
"LO",1,0,4,"DOSE",1
"GURT",2,0,4,"DOSE",1
"BI",3,0,4,"DOSE",1
"RA",4,0,4,"DOSE",1
"PIAN",5,0,4,"DOSE",1
"U",6,0,4,"DOSE",1
"FU",1,0,5,"DOSE",1
"SBOC",2,0,5,"DOSE",1
"IL",3,0,5,"DOSE",1
"BRIL",4,0,5,"DOSE",1
"RÀ",5,0,5,"DOSE",1
"GUAR",6,0,5,"DOSE",1
"LA",1,0,6,"DOSE",1
"FIU",2,0,6,"DOSE",1
"MAN",3,0,6,"DOSE",1
"SO",4,0,6,"DOSE",1
"VA",5,0,6,"DOSE",1
"RI",6,0,6,"DOSE",1
"DE",1,0,7,"DOSE",1
"FIO",2,0,7,"DOSE",1
"LA",3,0,7,"DOSE",1
"NOT",4,0,7,"DOSE",1
"LA",5,0,7,"DOSE",1
"RÀ",6,0,7,"DOSE",1
"VA",1,0,8,"DOSE",1
"SE",2,0,8,"DOSE",1
"GE",3,0,8,"DOSE",1
"GAL",4,0,8,"DOSE",1
"TU",5,0,8,"DOSE",1
"FUG",6,0,8,"DOSE",1
"GNA",1,0,9,"DOSE",1
"CO",2,0,9,"DOSE",1
"YO",3,0,9,"DOSE",1
"CU",4,0,9,"DOSE",1
"VA",5,0,9,"DOSE",1
"RA",6,0,9,"DOSE",1
"VA",1,0,10,"DOSE",1
"SE",2,0,10,"DOSE",1
"CI",3,0,10,"DOSE",1
"MET",4,0,10,"DOSE",1
"DI",5,0,10,"DOSE",1
"LO",6,0,10,"DOSE",1
"RÀ",1,0,11,"DOSE",1
"LA",2,0,11,"DOSE",1
"TE",3,0,11,"DOSE",1
"VA",4,0,11,"DOSE",1
"LO",5,0,11,"DOSE",1
"BIM",6,0,11,"DOSE",1
"RE",1,0,12,"DOSE",1
"LA",2,0,12,"DOSE",1
"STEL",3,0,12,"DOSE",1
"ME",4,0,12,"DOSE",1
"IL",5,0,12,"DOSE",1
"CI",6,0,12,"DOSE",1
