syllable,sequence,group
DI,RE LO PEN,1
SE,RE LO PEN,1
GNA,RE LO PEN,1
FU,RE LO PEN,1
MET,RE LO PEN,1
TI,RE LO PEN,1
IL,RE LO PEN,1
GAL,RE LO PEN,1
LO,RE LO PEN,1
FUG,RE LO PEN,1
GI,RE LO PEN,1
VA,RE LO PEN,1
PIAN,RE LO PEN,1
TA,RE LO PEN,1
VA,RE LO PEN,1
PE,RE LO PEN,1
TU,RE LO PEN,1
NIE,RE LO PEN,1
LA,RE LO PEN,1
STEL,RE LO PEN,1
LA,RE LO PEN,1
BRIL,RE LO PEN,1
LA,RE LO PEN,1
VA,RE LO PEN,1
SBOC,RE LO PEN,1
CIA,RE LO PEN,1
VA,RE LO PEN,1
UN,RE LO PEN,1
FIO,RE LO PEN,1
RE,RE LO PEN,1
LO,RE LO PEN,1
PEN,RE LO PEN,1
SO,RE LO PEN,1
AN,RE LO PEN,1
CO,RE LO PEN,1
RA,RE LO PEN,1
MAN,RE LO PEN,1
GE,RE LO PEN,1
RÀ,RE LO PEN,1
LO,RE LO PEN,1
YO,RE LO PEN,1
GURT,RE LO PEN,1
LA,RE LO PEN,1
SE,RE LO PEN,1
RA,RE LO PEN,1
CU,RE LO PEN,1
CI,RE LO PEN,1
VA,RE LO PEN,1
RI,RE LO PEN,1
DE,RE LO PEN,1
VA,RE LO PEN,1
LA,RE LO PEN,1
BIM,RE LO PEN,1
BA,RE LO PEN,1
U,RE LO PEN,1
SE,RE LO PEN,1
RÀ,RE LO PEN,1
LA,RE LO PEN,1
BI,RE LO PEN,1
CI,RE LO PEN,1
LA,RE LO PEN,1
GUAR,RE LO PEN,1
DO,RE LO PEN,1
STA,RE LO PEN,1
NOT,RE LO PEN,1
TE,RE LO PEN,1
IL,RE LO PEN,1
FIU,RE LO PEN,1
ME,RE LO PEN,1
SCOR,RE LO PEN,1
RE,RE LO PEN,1
RÀ,RE LO PEN,1
IL,TE LA CIT,2
TRUC,TE LA CIT,2
CO,TE LA CIT,2
È,TE LA CIT,2
BEL,TE LA CIT,2
LO,TE LA CIT,2
LA,TE LA CIT,2
SE,TE LA CIT,2
DIA,TE LA CIT,2
È,TE LA CIT,2
ROS,TE LA CIT,2
SA,TE LA CIT,2
IL,TE LA CIT,2
VO,TE LA CIT,2
LO,TE LA CIT,2
È,TE LA CIT,2
LUN,TE LA CIT,2
GO,TE LA CIT,2
LA,TE LA CIT,2
BOL,TE LA CIT,2
LA,TE LA CIT,2
È,TE LA CIT,2
GROS,TE LA CIT,2
SA,TE LA CIT,2
LO,TE LA CIT,2
ZAI,TE LA CIT,2
NO,TE LA CIT,2
È,TE LA CIT,2
VER,TE LA CIT,2
DE,TE LA CIT,2
IL,TE LA CIT,2
VIAG,TE LA CIT,2
GIO,TE LA CIT,2
È,TE LA CIT,2
BRE,TE LA CIT,2
VE,TE LA CIT,2
LA,TE LA CIT,2
BOC,TE LA CIT,2
CA,TE LA CIT,2
È,TE LA CIT,2
VIO,TE LA CIT,2
LA,TE LA CIT,2
IL,TE LA CIT,2
VI,TE LA CIT,2
NO,TE LA CIT,2
È,TE LA CIT,2
FOR,TE LA CIT,2
TE,TE LA CIT,2
LA,TE LA CIT,2
CIT,TE LA CIT,2
TÀ,TE LA CIT,2
È,TE LA CIT,2
GRAN,TE LA CIT,2
DE,TE LA CIT,2
LO,TE LA CIT,2
STOR,TE LA CIT,2
MO,TE LA CIT,2
È,TE LA CIT,2
AL,TE LA CIT,2
TO,TE LA CIT,2
IL,TE LA CIT,2
CA,TE LA CIT,2
PO,TE LA CIT,2
È,TE LA CIT,2
BRA,TE LA CIT,2
VO,TE LA CIT,2
LA,TE LA CIT,2
ZAN,TE LA CIT,2
NA,TE LA CIT,2
È,TE LA CIT,2
BIAN,TE LA CIT,2
CA,TE LA CIT,2
CHIA,NO CIE MI,3
LA,NO CIE MI,3
E',NO CIE MI,3
GRO,NO CIE MI,3
CA,NO CIE MI,3
IL,NO CIE MI,3
E',NO CIE MI,3
STA,NO CIE MI,3
TA,NO CIE MI,3
SA,NO CIE MI,3
PI,NO CIE MI,3
IL,NO CIE MI,3
DUB,NO CIE MI,3
RIC,NO CIE MI,3
RET,NO CIE MI,3
CIA,NO CIE MI,3
TA,NO CIE MI,3
NA,NO CIE MI,3
CIO,NO CIE MI,3
MO,NO CIE MI,3
SO,NO CIE MI,3
SPRA,NO CIE MI,3
E',NO CIE MI,3
IL,NO CIE MI,3
LA,NO CIE MI,3
NON,NO CIE MI,3
E',NO CIE MI,3
